8,Raiders,14,Bills,34,2.5,H,1,45.5
8,Colts,23,Bengals,24,10.5,H,1,42
8,Chargers,13,Patriots,21,7,H,1,48
8,Texans,38,Seahawks,41,5.5,H,1,46
8,Cowboys,33,Redskins,19,2,A,1,49
8,Steelers,20,Lions,15,3,A,1,46.5
8,Broncos,19,Chiefs,29,7,H,1,43
9,Bills,21,Jets,34,3.5,A,0,42.5
9,Broncos,23,Eagles,51,7.5,H,1,43.5
9,Rams,51,Giants,17,3.5,A,1,42
9,Bucs,10,Saints,30,7,H,1,52
9,Bengals,7,Jaguars,23,5.5,H,1,39
9,Falcons,17,Panthers,20,1.5,A,0,42.5
9,Colts,20,Texans,14,7,H,0,46
9,Ravens,20,Titans,23,3.5,H,1,43.5
9,Cardinals,20,49ers,10,2.5,A,1,39.5
9,Redskins,17,Seahawks,14,7.5,H,0,45
9,Chiefs,17,Cowboys,28,2,H,1,52.5
9,Raiders,27,Dolphins,24,3,A,1,44
9,Lions,30,Packers,17,2.5,A,1,43.5
10,Seahawks,22,Cardinals,17,6.5,H,0,40
10,Vikings,38,Redskins,30,1.5,A,1,42.5
10,Packers,23,Bears,16,5.5,H,0,38
10,Steelers,20,Colts,17,10,A,1,45
10,Chargers,17,Jaguars,20,3.5,H,1,41
10,Jets,10,Bucs,15,2.5,A,0,43.5
10,Bengals,20,Titans,24,4.5,H,1,40.5
10,Saints,47,Bills,10,3,A,1,46.5
10,Browns,24,Lions,38,11,H,1,43.5
10,Texans,7,Rams,33,12,H,1,45.5
10,Cowboys,7,Falcons,27,3,H,1,49
10,Giants,21,49ers,31,2.5,A,0,42
10,Patriots,41,Broncos,16,7.5,A,1,45.5
10,Dolphins,21,Panthers,45,9,H,1,39
11,Titans,17,Steelers,40,7,H,1,43.5
11,Lions,27,Bears,24,3,A,1,41
11,Jaguars,19,Browns,7,7.5,A,1,37
11,Ravens,23,Packers,0,2,A,1,38
11,Bucs,30,Dolphins,20,0,,,42
11,Rams,7,Vikings,24,2,H,1,46
11,Redskins,31,Saints,34,7.5,H,1,51.5
11,Chiefs,8,Giants,12,10.5,A,0,46
11,Cardinals,21,Texans,31,1.5,H,1,38.5
11,Bills,24,Chargers,54,0,,,
11,Bengals,20,Broncos,17,2.5,H,0,39
11,Patriots,33,Raiders,8,7,A,1,55
11,Eagles,37,Cowboys,9,4.5,A,1,48.5
11,Falcons,34,Seahawks,31,3,H,0,44.5
12,Giants,10,Redskins,20,7,H,1,44
12,Vikings,30,Lions,23,3,A,1,44.5
12,Chargers,28,Cowboys,6,1,A,1,48
12,Giants,10,Redskins,20,7.5,H,1,45
12,Browns,16,Bengals,30,8,H,1,38
12,Bears,3,Eagles,31,13.5,H,1,44
12,Dolphins,17,Patriots,35,16,H,1,47.5
12,Bills,16,Chiefs,10,10,H,0,46.5
12,Bucs,20,Falcons,34,9.5,H,1,48.5
12,Panthers,35,Jets,27,5,A,1,40.5
12,Titans,20,Colts,16,3,A,1,46
12,Seahawks,24,49ers,13,6.5,A,1,45
12,Saints,20,Rams,26,2.5,H,1,53.5
12,Jaguars,24,Cardinals,27,5.5,A,0,38
12,Broncos,14,Raiders,21,5,H,1,43.5
12,Packers,28,Steelers,31,14,H,1,43.5
12,Texans,16,Ravens,23,7,H,1,38
13,Redskins,17,Cowboys,38,1.5,A,0,47
13,Lions,20,Ravens,44,3,H,1,43
13,49ers,15,Bears,14,3,H,0,41
13,Vikings,14,Falcons,9,3,H,0,47.5
13,Patriots,23,Bills,3,8.5,A,1,48.5
13,Broncos,9,Dolphins,35,1.5,A,0,39.5
13,Texans,13,Titans,24,6.5,H,1,43
13,Chiefs,31,Jets,38,3.5,A,0,44
13,Colts,10,Jaguars,30,9.5,H,1,41
13,Bucs,20,Packers,26,2,H,1,45
13,Browns,10,Chargers,19,14,H,1,43.5
13,Giants,17,Raiders,24,8.5,H,1,42
13,Panthers,21,Saints,31,4.5,H,1,48
13,Rams,32,Cardinals,16,7,A,1,45
13,Eagles,10,Seahawks,24,5.5,A,0,47.5
13,Steelers,,Bengals,,5,A,,43.5
